Team,NO.,Fint,FirstName,LastName,Name,Position,AGE,HT,WT,COLLEGE,2015-2016 SALARY
DAL,3,C,Charlie,Villanueva,Charlie Villanueva,PF,31,11-Jun,232,Connecticut,"$947,276 "
DAL,8,D,Deron,Williams,Deron Williams,PG,31,3-Jun,200,Illinois,"$5,378,974 "
DEN,0,D,Darrell,Arthur,Darrell Arthur,PF,27,9-Jun,235,Kansas,"$2,814,000 "
DEN,12,D,D.J.,Augustin,D.J. Augustin,PG,28,Jun-00,183,Texas,"$3,000,000 "
DEN,5,W,Will,Barton,Will Barton,SF,25,6-Jun,175,Memphis,"$3,533,333 "
DEN,21,W,Wilson,Chandler,Wilson Chandler,SF,28,8-Jun,225,DePaul,"$10,449,438 "
DEN,35,K,Kenneth,Faried,Kenneth Faried,PF,26,8-Jun,228,Morehead State,"$11,235,955 "
DEN,8,D,Danilo,Gallinari,Danilo Gallinari,SF,27,10-Jun,225, ,"$14,000,000 "
DEN,14,G,Gary,Harris,Gary Harris,SG,21,4-Jun,210,Michigan State,"$1,584,480 "
DEN,15,N,Nikola,Jokic,Nikola Jokic,C,21,10-Jun,250, ,"$1,300,000 "
DEN,77,J,Joffrey,Lauvergne,Joffrey Lauvergne,C,24,11-Jun,220, ,"$1,709,719 "
DEN,3,M,Mike,Miller,Mike Miller,SG,36,8-Jun,218,Florida,"$947,276 "
DEN,0,E,Emmanuel,Mudiay,Emmanuel Mudiay,PG,19,5-Jun,200, ,"$3,102,240 "
DEN,1,J,Jameer,Nelson,Jameer Nelson,PG,34,Jun-00,190,Saint Joseph's,"$4,345,000 "
DEN,23,J,Jusuf,Nurkic,Jusuf Nurkic,C,21,Jul-00,280, ,"$1,842,000 "
DEN,9,J,JaKarr,Sampson,JaKarr Sampson,SG,22,9-Jun,214,St. John's,"$258,489 "
DET,50,J,Joel,Anthony,Joel Anthony,C,33,9-Jun,245,UNLV,"$2,500,000 "
DET,12,A,Aron,Baynes,Aron Baynes,C,29,10-Jun,260,Washington State,"$6,500,000 "
DET,22,S,Steve,Blake,Steve Blake,PG,36,3-Jun,172,Maryland,"$2,170,465 "
DET,25,R,Reggie,Bullock,Reggie Bullock,SF,24,7-Jun,205,North Carolina,"$1,252,440 "
DET,5,K,Kentavious,Caldwell-Pope,Kentavious Caldwell-Pope,SG,23,5-Jun,205,Georgia,"$2,891,760 "
DET,8,S,Spencer,Dinwiddie,Spencer Dinwiddie,PG,22,6-Jun,200,Colorado,"$845,059 "
DET,0,A,Andre,Drummond,Andre Drummond,C,22,11-Jun,279,Connecticut,"$3,272,091 "
DET,99,J,Justin,Harper,Justin Harper,PF,26,10-Jun,225,Richmond, 
DET,34,T,Tobias,Harris,Tobias Harris,SF,23,9-Jun,235,Tennessee,"$16,000,000 "
DET,6,D,Darrun,Hilliard,Darrun Hilliard,SF,22,6-Jun,205,Villanova,"$600,000 "
DET,1,R,Reggie,Jackson,Reggie Jackson,PG,25,3-Jun,208,Boston College,"$13,913,044 "
DET,3,S,Stanley,Johnson,Stanley Johnson,SF,19,7-Jun,245,Arizona,"$2,841,960 "
DET,20,J,Jodie,Meeks,Jodie Meeks,SG,28,4-Jun,210,Kentucky,"$6,270,000 "
DET,13,M,Marcus,Morris,Marcus Morris,PF,26,9-Jun,235,Kansas,"$5,000,000 "
DET,43,A,Anthony,Tolliver,Anthony Tolliver,PF,30,8-Jun,240,Creighton,"$3,000,000 "
GSW,19,L,Leandro,Barbosa,Leandro Barbosa,SG,33,3-Jun,194, ,"$2,500,000 "
GSW,40,H,Harrison,Barnes,Harrison Barnes,SF,23,8-Jun,225,North Carolina,"$3,873,398 "
GSW,12,A,Andrew,Bogut,Andrew Bogut,C,31,Jul-00,260,Utah,"$13,800,000 "
GSW,21,I,Ian,Clark,Ian Clark,SG,24,3-Jun,175,Belmont,"$947,276 "
GSW,30,S,Stephen,Curry,Stephen Curry,PG,27,3-Jun,190,Davidson,"$11,370,786 "
GSW,31,F,Festus,Ezeli,Festus Ezeli,C,26,11-Jun,265,Vanderbilt,"$2,008,748 "
GSW,23,D,Draymond,Green,Draymond Green,PF,25,7-Jun,230,Michigan State,"$14,260,870 "
GSW,9,A,Andre,Iguodala,Andre Iguodala,SF,32,6-Jun,215,Arizona,"$11,710,456 "
GSW,34,S,Shaun,Livingston,Shaun Livingston,PG,30,7-Jun,192, ,"$5,543,725 "
GSW,36,K,Kevon,Looney,Kevon Looney,SF,20,9-Jun,220,UCLA,"$1,131,960 "
GSW,20,J,James,McAdoo,James McAdoo,SF,23,9-Jun,240,North Carolina,"$845,059 "
GSW,4,B,Brandon,Rush,Brandon Rush,SF,30,6-Jun,220,Kansas,"$1,270,964 "
GSW,5,M,Marreese,Speights,Marreese Speights,C,28,10-Jun,255,Florida,"$3,815,000 "
GSW,11,K,Klay,Thompson,Klay Thompson,SG,26,7-Jun,215,Washington State,"$15,501,000 "
GSW,18,A,Anderson,Varejao,Anderson Varejao,PF,33,11-Jun,273, ,"$289,755 "
HOU,1,T,Trevor,Ariza,Trevor Ariza,SF,30,8-Jun,215,UCLA,"$8,193,030 "
HOU,2,P,Patrick,Beverley,Patrick Beverley,PG,27,1-Jun,185,Arkansas,"$6,486,486 "
HOU,33,C,Corey,Brewer,Corey Brewer,SG,29,9-Jun,186,Florida,"$8,229,375 "
HOU,15,C,Clint,Capela,Clint Capela,PF,21,10-Jun,240, ,"$1,242,720 "
HOU,7,S,Sam,Dekker,Sam Dekker,SF,21,9-Jun,230,Wisconsin,"$1,646,400 "
HOU,13,J,James,Harden,James Harden,SG,26,5-Jun,220,Arizona State,"$15,756,438 "
HOU,35,M,Montrezl,Harrell,Montrezl Harrell,PF,22,8-Jun,240,Louisville,"$1,000,000 "
HOU,12,D,Dwight,Howard,Dwight Howard,C,30,11-Jun,265, ,"$22,359,364 "
HOU,6,T,Terrence,Jones,Terrence Jones,PF,24,9-Jun,252,Kentucky,"$2,489,530 "
HOU,3,T,Ty,Lawson,Ty Lawson,PG,28,11-May,195,North Carolina,"$12,404,495 "
HOU,32,K,K.J.,McDaniels,K.J. McDaniels,SG,23,6-Jun,205,Clemson,"$3,189,794 "
HOU,20,D,Donatas,Motiejunas,Donatas Motiejunas,PF,25,Jul-00,222, ,"$2,288,205 "
HOU,5,J,Josh,Smith,Josh Smith,C,30,9-Jun,225, ,"$947,276 "
HOU,31,J,Jason,Terry,Jason Terry,SG,38,2-Jun,185,Arizona,"$947,276 "
HOU,10,M,Marcus,Thornton,Marcus Thornton,SF,28,4-Jun,205,LSU,"$947,276 "
IND,5,L,Lavoy,Allen,Lavoy Allen,PF,27,9-Jun,255,Temple,"$4,050,000 "
IND,10,C,Chase,Budinger,Chase Budinger,SF,27,7-Jun,209,Arizona,"$5,000,000 "
IND,25,R,Rakeem,Christmas,Rakeem Christmas,PF,24,9-Jun,250,Syracuse,"$1,007,026 "
IND,11,M,Monta,Ellis,Monta Ellis,SG,30,3-Jun,185, ,"$10,300,000 "
IND,13,P,Paul,George,Paul George,SF,25,9-Jun,220,Fresno State,"$17,120,106 "
IND,3,G,George,Hill,George Hill,PG,29,3-Jun,188,IUPUI,"$8,000,000 "
IND,27,J,Jordan,Hill,Jordan Hill,C,28,10-Jun,235,Arizona,"$4,000,000 "
IND,44,S,Solomon,Hill,Solomon Hill,SF,24,7-Jun,225,Arizona,"$1,358,880 "
IND,28,I,Ian,Mahinmi,Ian Mahinmi,C,29,11-Jun,250, ,"$4,000,000 "
IND,0,C,C.J.,Miles,C.J. Miles,SF,28,6-Jun,231, ,"$4,394,225 "
IND,40,G,Glenn,Robinson III,Glenn Robinson III,SG,22,7-Jun,222,Michigan,"$1,100,000 "
IND,2,R,Rodney,Stuckey,Rodney Stuckey,PG,29,5-Jun,205,Eastern Washington,"$7,000,000 "
IND,33,M,Myles,Turner,Myles Turner,PF,19,11-Jun,243,Texas,"$2,357,760 "
IND,42,S,Shayne,Whittington,Shayne Whittington,PF,24,11-Jun,250,Western Michigan,"$845,059 "
IND,1,J,Joe,Young,Joe Young,PG,23,2-Jun,180,Oregon,"$1,007,026 "
LAC,45,C,Cole,Aldrich,Cole Aldrich,C,27,11-Jun,250,Kansas,"$1,100,602 "
LAC,19,J,Jeff,Ayres,Jeff Ayres,PF,28,9-Jun,250,Arizona State,"$111,444 "
LAC,11,J,Jamal,Crawford,Jamal Crawford,SG,35,5-Jun,195,Michigan,"$5,675,000 "
LAC,22,B,Branden,Dawson,Branden Dawson,SF,23,6-Jun,225,Michigan State,"$525,093 "
LAC,8,J,Jeff,Green,Jeff Green,SF,29,9-Jun,235,Georgetown,"$9,450,000 "
LAC,32,B,Blake,Griffin,Blake Griffin,PF,26,10-Jun,251,Oklahoma,"$18,907,726 "
LAC,33,W,Wesley,Johnson,Wesley Johnson,SF,28,7-Jun,215,Syracuse,"$1,100,602 "
LAC,6,D,DeAndre,Jordan,DeAndre Jordan,C,27,11-Jun,265,Texas A&M,"$19,689,000 "
LAC,12,L,Luc,Mbah a Moute,Luc Mbah a Moute,PF,29,8-Jun,230,UCLA,"$947,276 "
