Fint,LastName,Position,Rank,City
D,Cunningham,SF,2,New Orleans
Q,Pondexter,SF,3,New Orleans
A,Davis,PF,1,New Orleans
R,Anderson,PF,2,New Orleans
L,Babbitt,PF,3,New Orleans
O,Asik,C,1,New Orleans
A,Ajinca,C,2,New Orleans
K,Perkins,C,3,New Orleans
J,Calderon,PG,1,New York
L,Galloway,PG,2,New York
J,Grant,PG,3,New York
A,Afflalo,SG,1,New York
S,Vujacic,SG,2,New York
C,Anthony,SF,1,New York
C,Early,SF,2,New York
L,Thomas,SF,3,New York
K,Porzingis,PF,1,New York
D,Williams,PF,2,New York
L,Amundson,PF,3,New York
R,Lopez,C,1,New York
K,Seraphin,C,2,New York
K,O'Quinn,C,3,New York
R,Westbrook,PG,1,Oklahoma City
C,Payne,PG,2,Oklahoma City
R,Foye,PG,3,Oklahoma City
D,Waiters,SG,1,Oklahoma City
A,Morrow,SG,2,Oklahoma City
A,Roberson,SG,3,Oklahoma City
K,Durant,SF,1,Oklahoma City
K,Singler,SF,2,Oklahoma City
J,Huestis,SF,3,Oklahoma City
S,Ibaka,PF,1,Oklahoma City
N,Collison,PF,2,Oklahoma City
S,Adams,C,1,Oklahoma City
E,Kanter,C,2,Oklahoma City
M,McGary,C,3,Oklahoma City
E,Payton,PG,1,Orlando
B,Jennings,PG,2,Orlando
S,Napier,PG,3,Orlando
C,Watson,PG,4,Orlando
V,Oladipo,SG,1,Orlando
E,Fournier,SG,2,Orlando
D,Marble,SG,3,Orlando
J,Cunningham,SG,4,Orlando
A,Gordon,SF,1,Orlando
M,Hezonja,SF,2,Orlando
E,Ilyasova,PF,1,Orlando
A,Nicholson,PF,2,Orlando
N,Vucevic,C,1,Orlando
J,Smith,C,2,Orlando
D,Dedmon,C,3,Orlando
I,Smith,PG,1,Philadelphia
I,Canaan,PG,2,Philadelphia
T,McConnell,PG,3,Philadelphia
K,Marshall,PG,4,Philadelphia
N,Stauskas,SG,1,Philadelphia
H,Thompson,SG,2,Philadelphia
R,Covington,SF,1,Philadelphia
J,Grant,SF,2,Philadelphia
N,Noel,PF,1,Philadelphia
C,Landry,PF,2,Philadelphia
R,Holmes,PF,3,Philadelphia
E,Brand,PF,4,Philadelphia
J,Okafor,C,1,Philadelphia
J,Anthony,C,2,Philadelphia
J,Embiid,C,3,Philadelphia
R,Price,PG,1,Phoenix
A,Goodwin,PG,2,Phoenix
B,Knight,PG,3,Phoenix
P,Pressey,PG,4,Phoenix
D,Booker,SG,1,Phoenix
E,Bledsoe,SG,2,Phoenix
J,Jenkins,SG,3,Phoenix
P,Tucker,SF,1,Phoenix
S,Weems,SF,2,Phoenix
T,Warren,SF,3,Phoenix
M,Teletovic,PF,1,Phoenix
J,Leuer,PF,2,Phoenix
K,Humphries,PF,3,Phoenix
T,Chandler,C,1,Phoenix
A,Len,C,2,Phoenix
D,Lillard,PG,1,Portland
B,Roberts,PG,2,Portland
C,McCollum,SG,1,Portland
A,Crabbe,SG,2,Portland
G,Henderson,SG,3,Portland
P,Connaughton,SG,4,Portland
A,Aminu,SF,1,Portland
M,Harkless,SF,2,Portland
L,Montero,SF,3,Portland
N,Vonleh,PF,1,Portland
M,Leonard,PF,2,Portland
C,Alexander,PF,3,Portland
M,Plumlee,C,1,Portland
E,Davis,C,2,Portland
C,Kaman,C,3,Portland
R,Rondo,PG,1,Sacramento
D,Collison,PG,2,Sacramento
S,Curry,PG,3,Sacramento
M,Belinelli,SG,1,Sacramento
J,Anderson,SG,2,Sacramento
B,McLemore,SG,3,Sacramento
R,Gay,SF,1,Sacramento
C,Butler,SF,2,Sacramento
D,Dukan,SF,3,Sacramento
W,Cauley-Stein,PF,1,Sacramento
O,Casspi,PF,2,Sacramento
E,Moreland,PF,3,Sacramento
D,Cousins,C,1,Sacramento
K,Koufos,C,2,Sacramento
Q,Acy,C,3,Sacramento
T,Parker,PG,1,San Antonio
P,Mills,PG,2,San Antonio
R,McCallum,PG,3,San Antonio
D,Green,SG,1,San Antonio
M,Ginobili,SG,2,San Antonio
J,Simmons,SG,3,San Antonio
K,Leonard,SF,1,San Antonio
K,Anderson,SF,2,San Antonio
R,Williams,SF,3,San Antonio
L,Aldridge,PF,1,San Antonio
D,West,PF,2,San Antonio
M,Bonner,PF,3,San Antonio
T,Duncan,C,1,San Antonio
B,Diaw,C,2,San Antonio
B,Marjanovic,C,3,San Antonio
K,Lowry,PG,1,Toronto
C,Joseph,PG,2,Toronto
D,Wright,PG,3,Toronto
D,DeRozan,SG,1,Toronto
T,Ross,SG,2,Toronto
N,Powell,SG,3,Toronto
J,Johnson,SF,1,Toronto
B,Caboclo,SF,2,Toronto
D,Carroll,SF,3,Toronto
L,Scola,PF,1,Toronto
P,Patterson,PF,2,Toronto
A,Bennett,PF,3,Toronto
J,Valanciunas,C,1,Toronto
B,Biyombo,C,2,Toronto
