0.43,0.5196,0.5016,0.5361,0.5121,0.5004,0.5016,0.5121,0.51,0.32,0,0.5144,0.44,0.44,0.251225,0.6296,0.5036,0.511025,0.49,0.5025,0.5121,0.5169,0.5001,0.45,0.2504,0.507225,0.2564,0.5484,0.542025,0.49
0.34,0.5,0.38,0.511025,0.2536,0.503025,0.5025,0.29,0.250225,0.5036,0.4,0,0.43,0.5361,0.42,0.5289,0.5,0.41,0.5144,0.5484,0.5144,0.555225,0.5256,0.27,0.4,0.45,0.48,0.34,0.5121,0.485
0.41,0.5081,0.6521,0.5049,0.34,0.45,0.54,0.503025,0.5484,0.2525,0.254225,0.5004,0,0.5225,0.250625,0.36,0.5016,0.538025,0.518225,0.5441,0.5009,0.5784,0.6296,0.5049,0.495,0.261025,0.5,0.38,0.5025,0.5196
0.45,0.5049,0.41,0.5225,0.5025,0.43,0.395,0.415,0.5064,0.445,0.35,0.5001,0.325,0,0.455,0.47,0.5064,0.251225,0.31,0.43,0.46,0.5289,0.5196,0.425,0.29,0.4,0.37,0.5049,0.43,0.44
0.5036,0.5289,0.5081,0.5036,0.44,0.28,0.250025,0.542025,0.5049,0.42,0.26,0.5144,0.49,0.5036,0,0.5256,0.5169,0.5016,0.5576,0.5484,0.509025,0.5081,0.5324,0.5144,0.505625,0.505625,0.2501,0.5036,0.415,0.41
0.44,0.2509,0.5025,0.5009,0.355,0.5144,0.29,0.5289,0.5049,0.33,0.33,0.48,0.33,0.5036,0.42,0,0.43,0.51,0.36,0.5196,0.42,0.2509,0.251225,0.5289,0.5016,0.5025,0.36,0.2501,0.32,0.2525
0.42,0.49,0.521025,0.43,0.475,0.385,0.48,0.5064,0.518225,0.37,0.36,0.250025,0.5025,0.5064,0.5001,0.515625,0,0.5196,0.39,0.51,0.5049,0.495,0.5196,0.44,0.5049,0.5064,0.39,0.47,0.48,0.475
0.38,0.5144,0.34,0.39,0.49,0.34,0.27,0.38,0.5036,0.405,0.43,0.46,0.45,0.46,0.485,0.5001,0.33,0,0.4,0.5256,0.28,0.37,0.42,0.5,0.5064,0.425,0.28,0.36,0.34,0.54
0.5225,0.44,0.5036,0.5081,0.15,0.5025,0.49,0.425,0.5009,0.485,0.2669,0.37,0.5025,0.513225,0.507225,0.5004,0.5001,0.6225,0,0.5121,0.485,0.5289,0.5625,0.509025,0.24,0.2504,0.5036,0.5009,0.2504,0.43
0.44,0.425,0.465,0.375,0.26,0.395,0.3,0.5256,0.31,0.36,0.26,0.39,0.19,0.5144,0.29,0.345,0.395,0.47,0.5049,0,0.5064,0.250625,0.5081,0.41,0.46,0.12,0.5016,0.5,0.48,0.37
0.5064,0.5016,0.48,0.5529,0.5081,0.5081,0.253025,0.5324,0.43,0.251225,0.465,0.5169,0.253025,0.51,0.2549,0.5324,0.5169,0.5121,0.475,0.5729,0,0.5049,0.5025,0.518225,0.251225,0.511025,0.25,0.5016,0.51,0.5049
0.445,0.5025,0.48,0.385,0.250025,0.38,0.35,0.31,0.315,0.35,0.5049,0.43,0.26,0.5036,0.4,0.45,0.250025,0.5081,0.5121,0.250625,0.22,0,0.485,0.45,0.5049,0.5025,0.38,0.425,0.43,0.455
0.45,0.355,0.425,0.45,0.44,0.5009,0.43,0.5049,0.524025,0.45,0.39,0.45,0.29,0.48,0.45,0.39,0.35,0.5081,0.5225,0.252025,0.38,0.48,0,0.24,0.4,0.5049,0.44,0.42,0.44,0.395
0.41,0.45,0.5064,0.42,0.5036,0.5049,0.505625,0.5064,0.48,0.47,0.445,0.5289,0.345,0.530625,0.44,0.44,0.48,0.51,0.5004,0.5169,0.46,0.47,0.5256,0,0.495,0.445,0.39,0.5256,0.502025,0.5064
0.42,0.49,0.51,0.5004,0.5324,0.5361,0.54,0.5121,0.5361,0.405,0.5025,0.5036,0.45,0.51,0.405,0.5256,0.5049,0.538025,0.5081,0.5484,0.51,0.5121,0.5441,0.5484,0,0.5016,0.521025,0.5025,0.475,0.5049
0.43,0.5064,0.47,0.51,0.5225,0.5361,0.365,0.2536,0.45,0.285,0.46,0.5001,0.4,0.507225,0.5,0.38,0.49,0.5025,0.44,0.5036,0.252025,0.41,0.5001,0.465,0.49,0,0.46,0.42,0.250225,0.5529
0.5004,0.5144,0.5144,0.5081,0.5121,0.47,0.509025,0.538025,0.49,0.5225,0.5064,0.5036,0.435,0.2536,0.254225,0.5169,0.5036,0.5576,0.250025,0.5196,0.274025,0.5049,0.5625,0.511025,0.2504,0.530625,0,0.51,0.54,0.5081
0.43,0.2536,0.5,0.485,0.4,0.39,0.46,0.5025,0.250025,0.26,0.5009,0.5144,0.5256,0.5121,0.5016,0.51,0.280625,0.5025,0.48,0.518225,0.5144,0.507225,0.5576,0.5016,0.34,0.5289,0.5025,0,0.5324,0.511025
0.44,0.41,0.6225,0.5784,0.48,0.5004,0.47,0.2536,0.5009,0.495,0.251225,0.46,0.395,0.2509,0.445,0.45,0.5049,0.2504,0.38,0.5025,0.5121,0.45,0.5289,0.5729,0.254225,0.5144,0.504225,0.31,0,0.46
0.250625,0.5049,0.255625,0.495,0.2516,0.375,0.47,0.59,0.5016,0.43,0.42,0.5,0.5064,0.5256,0.54,0.513225,0.5121,0.5196,0.5009,0.5144,0.48,0.511025,0.5576,0.38,0.5064,0.5256,0.5064,0.46,0.5081,0
