,NO.,FirstName,LastName,POS,AGE,HT,WT,COLLEGE,2015-2016 SALARY,Team
309,10,Evan,Fournier,SG,23,7-Jun,205, ,"$2,288,205 ",ORL
310,0,Aaron,Gordon,PF,20,9-Jun,220,Arizona,"$4,171,680 ",ORL
311,23,Mario,Hezonja,SG,21,8-Jun,218, ,"$3,741,480 ",ORL
312,7,Ersan,Ilyasova,PF,28,10-Jun,235, ,"$7,900,000 ",ORL
313,55,Brandon,Jennings,PG,26,1-Jun,169, ,"$8,344,497 ",ORL
314,11,Devyn,Marble,SF,23,6-Jun,200,Iowa,"$845,059 ",ORL
315,13,Shabazz,Napier,PG,24,1-Jun,175,Connecticut,"$1,294,440 ",ORL
316,44,Andrew,Nicholson,PF,26,9-Jun,250,St. Bonaventure,"$2,380,593 ",ORL
317,5,Victor,Oladipo,SG,23,4-Jun,210,Indiana,"$5,192,520 ",ORL
318,4,Elfrid,Payton,PG,22,4-Jun,185,Louisiana-Lafayette,"$2,505,720 ",ORL
319,14,Jason,Smith,PF,29,Jul-00,240,Colorado State,"$4,300,000 ",ORL
320,9,Nikola,Vucevic,C,25,Jul-00,260,USC,"$11,250,000 ",ORL
321,32,C.J.,Watson,PG,31,2-Jun,175,Tennessee,"$5,000,000 ",ORL
322,42,Elton,Brand,PF,36,9-Jun,254,Duke, ,PHI
323,0,Isaiah,Canaan,PG,24,Jun-00,201,Murray State,"$947,276 ",PHI
324,33,Robert,Covington,SF,25,9-Jun,215,Tennessee State,"$1,000,000 ",PHI
325,21,Joel,Embiid,C,21,Jul-00,250,Kansas,"$4,626,960 ",PHI
326,39,Jerami,Grant,SF,21,8-Jun,210,Syracuse,"$845,059 ",PHI
327,22,Richaun,Holmes,PF,22,10-Jun,245,Bowling Green,"$1,074,169 ",PHI
328,7,Carl,Landry,PF,32,9-Jun,248,Purdue,"$6,500,000 ",PHI
329,5,Kendall,Marshall,PG,24,4-Jun,200,North Carolina,"$2,144,772 ",PHI
330,12,T.J.,McConnell,PG,23,2-Jun,200,Arizona,"$525,093 ",PHI
