,NO.,FirstName,LastName,POS,AGE,HT,WT,COLLEGE,2015-2016 SALARY,Team
237,11,Tyler,Ennis,PG,21,3-Jun,194,Syracuse,"$1,662,360 ",MIL
238,31,John,Henson,PF,25,11-Jun,229,North Carolina,"$2,943,221 ",MIL
239,17,Damien,Inglis,SF,20,8-Jun,246, ,"$855,000 ",MIL
240,3,O.J.,Mayo,SG,28,5-Jun,210,USC,"$8,000,000 ",MIL
241,22,Khris,Middleton,SG,24,8-Jun,234,Texas A&M,"$14,700,000 ",MIL
242,15,Greg,Monroe,C,25,11-Jun,265,Georgetown,"$16,407,500 ",MIL
243,6,Steve,Novak,SF,32,10-Jun,225,Marquette,"$289,755 ",MIL
244,77,Johnny,O'Bryant III,PF,22,9-Jun,257,LSU,"$845,059 ",MIL
245,12,Jabari,Parker,PF,20,8-Jun,250,Duke,"$5,152,440 ",MIL
246,18,Miles,Plumlee,C,27,11-Jun,249,Duke,"$2,109,294 ",MIL
247,21,Greivis,Vasquez,PG,29,6-Jun,217,Maryland,"$6,600,000 ",MIL
248,20,Rashad,Vaughn,SG,19,6-Jun,202,UNLV,"$1,733,040 ",MIL
249,88,Nemanja,Bjelica,PF,27,10-Jun,240, ,"$3,950,001 ",MIN
250,5,Gorgui,Dieng,C,26,11-Jun,241,Louisville,"$1,474,440 ",MIN
251,21,Kevin,Garnett,PF,39,11-Jun,240, ,"$8,500,000 ",MIN
252,1,Tyus,Jones,PG,19,2-Jun,195,Duke,"$1,282,080 ",MIN
253,8,Zach,LaVine,PG,20,5-Jun,189,UCLA,"$2,148,360 ",MIN
254,23,Kevin,Martin,SG,33,7-Jun,199,Western Carolina,"$7,085,000 ",MIN
255,15,Shabazz,Muhammad,SF,23,6-Jun,223,UCLA,"$2,056,920 ",MIN
256,33,Adreian,Payne,PF,25,10-Jun,237,Michigan State,"$1,938,840 ",MIN
257,14,Nikola,Pekovic,C,30,11-Jun,307, ,"$12,100,000 ",MIN
258,12,Tayshaun,Prince,SF,36,9-Jun,212,Kentucky,"$947,276 ",MIN
259,9,Ricky,Rubio,PG,25,4-Jun,194, ,"$12,700,000 ",MIN
260,10,Damjan,Rudez,SF,29,9-Jun,230, ,"$1,149,500 ",MIN
261,32,Karl-Anthony,Towns,C,20,Jul-00,244,Kentucky,"$5,703,600 ",MIN
262,22,Andrew,Wiggins,SG,21,8-Jun,199,Kansas,"$5,758,680 ",MIN
263,42,Alexis,Ajinca,C,27,2-Jul,248, ,"$4,389,607 ",NO
264,33,Ryan,Anderson,PF,27,10-Jun,240,California,"$8,500,000 ",NO
265,3,Omer,Asik,C,29,Jul-00,255, ,"$9,213,483 ",NO
266,8,Luke,Babbitt,SF,26,9-Jun,225,Nevada,"$1,100,602 ",NO
267,30,Norris,Cole,PG,27,2-Jun,175,Cleveland State,"$3,036,927 ",NO
268,44,Dante,Cunningham,PF,28,8-Jun,230,Villanova,"$2,850,000 ",NO
269,23,Anthony,Davis,PF,22,10-Jun,253,Kentucky,"$7,070,730 ",NO
270,31,Bryce,Dejean-Jones,SG,23,6-Jun,203,Iowa State,"$169,883 ",NO
271,16,Toney,Douglas,PG,29,2-Jun,195,Florida State,"$1,164,858 ",NO
272,1,Tyreke,Evans,SG,26,6-Jun,220,Memphis,"$10,734,586 ",NO
273,15,Alonzo,Gee,SF,28,6-Jun,225,Alabama,"$1,320,000 ",NO
274,10,Eric,Gordon,SG,27,4-Jun,215,Indiana,"$15,514,031 ",NO
275,11,Jrue,Holiday,PG,25,4-Jun,205,UCLA,"$10,595,507 ",NO
276,5,Kendrick,Perkins,C,31,10-Jun,270, ,"$947,276 ",NO
277,20,Quincy,Pondexter,SF,27,7-Jun,220,Washington,"$3,382,023 ",NO
278,4,Arron,Afflalo,SG,30,5-Jun,210,UCLA,"$8,000,000 ",NYK
279,17,Lou,Amundson,PF,33,9-Jun,220,UNLV,"$1,635,476 ",NYK
280,7,Carmelo,Anthony,SF,31,8-Jun,240,Syracuse,"$22,875,000 ",NYK
281,3,Jose,Calderon,PG,34,3-Jun,200, ,"$7,402,812 ",NYK
282,11,Cleanthony,Early,SF,24,8-Jun,210,Wichita State,"$845,059 ",NYK
283,32,Jimmer,Fredette,PG,27,2-Jun,195,BYU,"$874,837 ",NYK
284,2,Langston,Galloway,SG,24,2-Jun,200,Saint Joseph's,"$845,059 ",NYK
285,13,Jerian,Grant,PG,23,4-Jun,195,Notre Dame,"$1,572,360 ",NYK
286,8,Robin,Lopez,C,27,Jul-00,255,Stanford,"$12,650,000 ",NYK
287,9,Kyle,O'Quinn,PF,25,10-Jun,250,Norfolk State,"$3,750,000 ",NYK
288,6,Kristaps,Porzingis,PF,20,3-Jul,240, ,"$4,131,720 ",NYK
289,1,Kevin,Seraphin,C,26,10-Jun,278, ,"$2,814,000 ",NYK
290,42,Lance,Thomas,SF,27,8-Jun,235,Duke,"$1,636,842 ",NYK
291,18,Sasha,Vujacic,SG,31,7-Jun,195, ,"$947,276 ",NYK
292,23,Derrick,Williams,PF,24,8-Jun,240,Arizona,"$4,000,000 ",NYK
293,12,Steven,Adams,C,22,Jul-00,255,Pittsburgh,"$2,279,040 ",OKC
294,4,Nick,Collison,PF,35,10-Jun,255,Kansas,"$3,750,000 ",OKC
295,35,Kevin,Durant,SF,27,9-Jun,240,Texas,"$20,158,622 ",OKC
296,6,Randy,Foye,SG,32,4-Jun,213,Villanova,"$3,135,000 ",OKC
297,34,Josh,Huestis,SF,24,7-Jun,230,Stanford,"$1,140,240 ",OKC
298,9,Serge,Ibaka,PF,26,10-Jun,245, ,"$12,250,000 ",OKC
299,11,Enes,Kanter,C,23,11-Jun,245,Kentucky,"$16,407,500 ",OKC
300,33,Mitch,McGary,PF,23,10-Jun,255,Michigan,"$1,463,040 ",OKC
301,2,Anthony,Morrow,SG,30,5-Jun,210,Georgia Tech,"$3,344,000 ",OKC
302,22,Cameron,Payne,PG,21,3-Jun,185,Murray State,"$2,021,520 ",OKC
303,21,Andre,Roberson,SG,24,7-Jun,210,Colorado,"$1,210,800 ",OKC
304,5,Kyle,Singler,SF,27,8-Jun,228,Duke,"$4,500,000 ",OKC
305,3,Dion,Waiters,SG,24,4-Jun,220,Syracuse,"$5,138,430 ",OKC
306,0,Russell,Westbrook,PG,27,3-Jun,200,UCLA,"$16,744,218 ",OKC
307,8,Jared,Cunningham,SG,24,4-Jun,195,Oregon State,"$947,276 ",ORL
308,3,Dewayne,Dedmon,C,26,Jul-00,245,USC,"$947,276 ",ORL
