Away,Home
SAC,LAL
UTH,NO
CHA,OKC
PHI,ORL
ATL,POR
BOS,TOR
MIA,WAS
LAC,CLE
MEM,DEN
DET,NYK
SAS,PHO
ATL,SAC
CHI,BOS
UTH,BKN
OKC,DAL
IND,GSW
MIL,HOU
SAS,LAL
LAC,NO
CHA,ORL
MIA,TOR
NO,CHA
CHI,CLE
DET,DEN
MEM,MIN
MIL,NYK
ATL,PHO
LAL,POR
IND,SAC
OKC,BKN
DAL,HOU
BOS,PHI
LAC,TOR
MIA,CHI
MIN,CLE
ATL,DEN
SAS,GSW
ORL,MEM
HOU,NYK
CHA,SAC
DET,UTH
BOS,WAS
MIA,BKN
LAC,IND
DAL,LAL
ORL,MIL
OKC,NO
PHO,PHI
SAC,POR
WAS,TOR
LAC,ATL
DEN,BOS
PHO,CLE
PHI,DET
DAL,GSW
OKC,MIN
HOU,SAS
CHA,UTH
ATL,IND
CHI,LAL
MIL,MEM
SAC,NYK
NO,TOR
DEN,WAS
ORL,BOS
BKN,DAL
CLE,DET
LAL,LAC
MIA,MIL
PHO,NO
HOU,OKC
CHA,POR
MIN,UTH
SAS,CLE
WAS,HOU
DEN,IND
SAC,MEM
BKN,NYK
GSW,PHI
DET,TOR
PHO,DAL
CHI,LAC
CHA,LAL
ATL,MIA
GSW,NO
BOS,ORL
MIN,POR
DAL,ATL
DET,BKN
TOR,DEN
CLE,IND
MEM,NYK
WAS,OKC
MIL,SAC
ORL,SAS
CHI,UTH
MIA,HOU
MIN,LAL
BOS,NO
TOR,PHO
MIL,POR
DET,BOS
IND,BKN
CLE,CHA
MIA,DAL
MIN,LAC
ORL,OKC
ATL,PHI
CHI,SAC
NYK,SAS
DEN,UTH
GSW,WAS
NO,DET
LAL,NYK
HOU,PHO
TOR,POR
IND,ATL
SAC,BKN
MIA,CHA
BOS,CLE
SAS,DAL
CHI,DEN
MEM,NO
LAC,ORL
MIL,UTH
PHI,WAS
WAS,CHA
NYK,CLE
OKC,GSW
POR,HOU
DET,IND
DAL,MEM
CHI,MIN
BKN,PHI
UTH,PHO
LAL,SAS
SAC,BOS
LAC,MIA
DEN,NO
ATL,ORL
ORL,ATL
DEN,BKN
CHI,CHA
SAC,CLE
TOR,DET
LAL,IND
POR,MEM
NYK,MIN
LAC,PHI
OKC,PHO
UTH,DAL
HOU,GSW
SAS,MIA
BOS,MIL
WAS,NO
LAC,BOS
MEM,BKN
ATL,CHI
LAL,CLE
DEN,DET
CHA,IND
TOR,MIN
UTH,NYK
SAS,ORL
SAC,PHI
GSW,PHO
HOU,POR
WAS,MIL
NYK,OKC
CHI,CLE
SAS,LAC
UTH,WAS
MIA,ATL
NO,BKN
TOR,CHI
SAS,LAL
MIN,MEM
CHA,MIL
PHI,NYK
IND,OKC
DAL,ORL
HOU,PHO
GSW,POR
DEN,SAC
BOS,UTH
DET,WAS
MIL,ATL
GSW,LAC
WAS,MIA
NO,MIN
CHA,BKN
LAL,CHI
PHI,DAL
BOS,DEN
NYK,DET
CLE,OKC
IND,ORL
SAS,PHO
UTH,POR
MEM,TOR
GSW,ATL
DET,CLE
PHO,LAC
IND,MIA
LAL,MIL
BOS,MIN
TOR,NO
SAC,DEN
ORL,PHI
BKN,POR
HOU,UTH
NYK,WAS
WAS,CHI
CHA,CLE
OKC,DAL
PHI,DET
NO,IND
DEN,LAC
LAL,MEM
GSW,MIA
SAS,SAC
MIN,TOR
MIL,BOS
OKC,NYK
GSW,ORL
BKN,PHO
HOU,POR
SAS,UTH
CHI,ATL
DEN,DAL
CHA,IND
MEM,LAL
